distance,vertical,profile_score,profile_score_last25k,gravel_cobbles,date,race_type,num_finish,gap,distance_solo
144,1381,27,12,0,16,2,110,23,0
142,2269,103,43,0,17,2,79,55,0.8
145,1606,37,8,0,18,2,115,18,0
136,575,9,2,0,19,2,123,28,0
129,1437,91,73,0,20,2,3,3,0
128,2344,110,46,0,21,2,4,3,0
174,1716,83,31,0,28,1,13,2,0
141,1391,59,28,0,50,2,104,89,0
176,2029,179,167,0,52,2,1,5,0.9
168,288,0,0,0,53,2,136,0,0
182,1043,8,0,0,54,2,121,22,0
138,110,0,0,0,55,2,124,38,0
161,1267,165,164,0,56,2,1,22,1.8
202,1607,49,18,1,57,1,1,3,0
215,3669,185,71,1,62,1,1,166,81.1
158,1671,68,27,0,63,2,64,20,0
178,1070,11,0,0,64,2,143,30,0
183,3341,210,102,0,66,2,1,10,1.3
194,2274,49,10,0,67,2,107,25,0
198,2866,119,20,0,68,2,3,52,0
104,2342,188,148,0,69,2,1,8,3.9
109,2296,175,61,0,70,2,2,50,0
198,1401,21,0,0,65,2,134,27,0
225,2616,69,29,0,66,2,79,32,0
207,2923,77,20,0,67,2,72,14,0
144,3015,159,33,0,68,2,1,72,28.9
180,3544,251,160,0,69,2,1,26,6.1
154,1508,30,0,0,70,2,97,29,0
288,2070,59,22,0,76,1,12,35,0
174,2677,118,47,0,78,2,62,59,1.1
187,3470,247,181,0,79,2,1,83,6.5
177,3958,310,204,0,80,2,1,48,7.3
169,1346,24,2,0,81,2,148,24,0
167,2243,85,10,0,82,2,73,14,0
155,4075,316,113,0,83,2,1,57,29.2
145,2060,165,90,0,84,2,23,34,0
199,264,0,0,0,80,1,122,48,0
208,2019,59,4,1,82,1,1,91,43.7
253,1309,34,0,1,84,1,2,16,0
189,1498,43,5,1,87,1,1,29,7
271,2172,74,16,1,91,1,1,62,44.8
160,2312,72,15,0,93,2,40,13,0
191,3057,113,41,0,94,2,129,185,0
176,2214,100,41,0,96,2,34,58,0
138,3472,235,31,0,97,2,2,41,0
260,1414,6,1,1,98,1,1,180,59.6
254,3290,110,21,0,105,1,9,11,0
199,2791,145,56,0,108,1,2,3,0
255,4266,174,51,0,112,1,1,99,34.4
166,2631,120,36,0,115,2,87,79,0
171,2716,174,123,0,116,2,2,4,0
152,3518,299,149,0,118,2,2,10,2.2
151,1607,41,14,0,119,2,67,21,0
202,2939,85,1,0,122,1,35,9,0
140,1851,145,67,0,125,3,3,6,0
161,2310,222,152,0,126,3,1,27,4.3
166,865,35,27,0,127,3,91,19,0
190,2151,44,7,0,128,3,113,40,0
178,2197,59,11,0,129,3,3,3,0
180,2118,102,54,1,130,3,2,1,0
152,3658,265,176,0,132,3,3,2,0
214,1574,77,39,0,133,3,77,32,0
142,3029,267,171,0,135,3,1,29,2.5
207,1830,36,8,0,136,3,89,55,0
193,2162,95,28,0,137,3,1,31,11.5
179,202,0,0,0,138,3,94,32,0
222,5724,397,210,0,140,3,1,29,1.9
118,2151,234,162,0,142,3,1,16,0.65
159,4087,341,158,0,143,3,1,84,34.3
178,873,18,0,0,144,3,89,28,0
157,3251,258,117,0,145,3,1,54,28
184,4540,316,23,0,146,3,1,127,34.1
125,676,13,7,0,147,3,101,34,0
173,1891,40,11,0,154,2,152,0,0
142,2499,117,78,0,155,2,53,30,0
182,2833,110,40,0,156,2,2,3,0
174,3439,301,222,0,159,2,1,3,0.3
155,4316,393,208,0,160,2,2,2,0
161,3751,294,177,0,161,2,2,15,0
177,2147,77,32,0,162,2,83,68,0
162,1764,89,62,0,163,2,7,3,0
171,3234,236,181,0,164,2,1,23,11
149,3071,254,194,0,165,2,1,5,0.85
43,826,128,126,0,166,2,1,4,0.2
118,2978,265,152,0,167,2,2,14,0
206,3821,176,0,0,181,3,2,5,0
199,1859,109,40,0,182,3,1,36,14.3
231,1190,16,0,0,183,3,60,47,0
140,3904,187,56,0,184,3,1,35,19.3
177,1126,25,5,0,185,3,155,62,0
164,881,7,1,0,186,3,107,29,0
183,2334,63,13,0,188,3,112,42,0
199,2012,30,1,1,189,3,4,2,0
187,888,6,3,0,191,3,137,43,0
211,4177,241,93,0,192,3,2,25,0
204,2253,53,8,0,193,3,68,36,0
165,1884,53,15,0,194,3,52,35,0
152,4050,340,193,0,195,3,1,39,4.6
198,5071,366,215,0,196,3,1,68,5.4
189,1176,15,0,0,198,3,111,57,0
178,3091,177,120,0,199,3,1,37,13.3
180,3123,101,15,0,200,3,3,22,0
145,4512,275,155,0,201,3,1,21,1.9
133,4748,380,218,0,202,3,1,7,0.15
236,4435,235,58,0,223,1,2,7,0
156,1838,84,61,0,225,2,1,3,0
157,3159,163,73,0,227,2,21,13,0
195,1734,29,3,0,228,2,134,29,0
188,1634,22,3,0,229,2,70,29,0
183,3134,164,80,0,230,2,18,15,0
142,1527,32,0,0,231,2,113,26,0
194,2678,86,22,0,231,3,165,183,0
191,2620,58,6,0,232,3,115,20,0
171,3519,238,166,0,233,3,7,18,0
177,1691,32,0,0,234,3,150,30,0
186,3711,170,60,0,235,3,1,273,27.6
181,1943,78,12,0,236,3,33,17,0
159,2641,145,86,0,237,3,2,14,0
179,4486,305,21,0,238,3,1,99,58.3
160,3074,178,28,0,240,3,1,3,0
164,2890,148,56,0,241,3,1,2,0.6
138,3088,174,98,0,242,3,1,8,10.1
176,3708,299,227,0,243,3,1,45,4.7
201,2876,100,37,0,244,3,60,19,0
143,3804,372,280,0,245,3,1,12,0.35
182,4085,347,224,0,247,3,1,18,4.5
142,2498,107,17,0,248,3,61,32,0
180,2699,139,28,0,249,3,1,4,5.6
165,2601,217,195,0,250,3,1,46,5.1
172,5077,340,154,0,251,3,1,7,2.8
260,3539,112,27,0,238,1,1,1,3.5
164,1624,29,3,0,241,2,83,28,0
186,377,0,0,0,243,2,124,23,0
179,337,0,0,0,244,2,121,79,0
203,2060,81,25,1,245,2,1,5,0.2
178,840,32,24,0,252,1,33,4,0
202,2508,63,18,0,257,1,35,7,0
209,3899,176,48,0,259,1,1,24,23.3
255,4735,220,48,0,286,1,1,196,48.4
149,1604,56,21,0,289,2,108,19,0
182,2175,81,24,0,290,2,90,41,0
214,2563,85,13,0,291,2,103,66,0
177,2835,111,18,0,292,2,88,20,0
166,1881,126,94,0,293,2,1,2,0
134,1673,106,34,0,294,2,55,12,0
